commodity_code,trade_value_usd
1,358160
2,775
3,352914
4,2752
5,1899
6,1794
7,3979066
8,130978208
9,11480727
10,471157011
11,23878040
12,1060474
13,433950
14,180
15,32169065
17,52877270
18,556578
19,13111189
20,32485345
21,879359
22,3767760
23,20261790
24,12953808
25,5051177
26,368491
27,364
28,336113
29,22156551
30,11637455
31,63500
32,128258
33,1681636
34,1250524
35,3036961
36,803874
37,229387
38,2603574
39,308901170
40,281847572
41,19438544
42,1008780167
43,200030663
44,215940544
45,28329
46,698998
47,265876
48,13548673
49,383763640
50,15000
52,9391789
53,159129
54,2634312
55,13516978
56,4718344
57,33426
58,2570052
59,46614053
60,39848408
61,5188129697
62,2296771243
63,161926468
64,1123080578
65,31085969
66,34396139
67,13733953
68,4519097
69,367134
70,7888232
71,3038699495
72,6307718
73,45759307
74,57574396
76,43548049
78,1131800
79,3083
82,662934
83,11464838
84,170110475
85,762091468
86,20347
87,559402639
88,15100
89,2804969
90,6294882
91,6867307
92,216616
94,638375771
95,67159943
96,19258875
97,270886
99,1688406
103,132000
106,226160
208,775
301,5000
302,225104
305,11338
306,70603
307,40868
409,2752
501,1899
603,1794
702,2
704,15
706,5
707,2
708,66489
709,100378
710,3720
712,5339
714,3803114
801,9712239
802,3290
803,112908722
804,3611911
805,187
807,8808
810,604262
812,1003716
813,3125070
901,10083
902,1251
904,9892950
909,15941
910,1560500
1005,492262
1006,470664749
1102,2844829
1106,15465
1108,21017745
1201,16450
1202,562994
1206,30
1207,342375
1211,35495
1212,103129
1301,433950
1404,180
1501,12181
1509,1060195
1511,27908910
1513,3099377
1522,88400
1701,46043830
1702,335769
1703,6497670
1801,5778
1805,550800
1901,540
1902,2873250
1904,40136
1905,10197263
2005,12
2006,28144777
2007,87483
2008,4234301
2009,18772
2101,17
2102,524164
2103,33210
2106,321966
2201,3436
2202,196000
2203,1118049
2204,6050
2206,5181
2207,2386457
2208,16586
2209,36000
2303,217763
2309,20044026
2401,5719481
2402,6971699
2403,262628
2501,43624
2505,882551
2515,2557887
2516,1325475
2523,240490
2530,1149
2616,368491
2701,190
2715,174
2811,642
2817,35650
2833,299820
2910,70202
2918,10663129
2935,11423220
3002,2781
3004,5301297
3005,4776692
3006,1556683
3105,63500
3203,75
3208,18429
3209,20750
3212,9312
3213,278
3214,34456
3215,44956
3304,1645566
3306,35856
3307,214
3401,5185
3402,169258
3403,276
3405,37590
3406,1038215
3505,2802969
3506,233992
3604,739994
3606,63880
3701,206273
3707,23114
3808,2104331
3809,41600
3811,4752
3812,1164
3814,111
3818,260708
3822,486
3823,180540
3824,9881
3901,90196
3902,614954
3903,98465
3907,650933
3910,24
3915,1589083
3917,15809
3918,5184426
3919,606387
3920,298046
3921,2495892
3923,47758016
3924,77376
3925,191641028
3926,57780527
4001,273604344
4002,246955
4005,30096
4008,3246
4009,270
4011,32313
4012,32076
4013,360
4015,7771163
4016,126746
4101,177167
4103,3462
4104,7955614
4106,1393718
4107,793901
4113,6883911
4114,961126
4115,1269642
4201,11630066
4202,978380012
4203,17683884
4205,1086204
4302,198093438
4303,1937225
4401,360000
4402,42160
4403,17122
4407,7327430
4408,2414996
4409,16992545
4412,186733550
4414,1610
4415,9296
4418,1989156
4419,1337
4420,38810
4421,12530
4503,28329
4601,19182
4602,679816
4707,265876
4802,182287
4803,106920
4804,38999
4805,311018
4808,767
4809,5481
4810,33750
4811,147020
4817,1537301
4818,1648876
4819,8256037
4820,438175
4821,595972
4822,21108
4823,224955
4901,46527
4903,160692
4905,1736
4906,450
4907,382071581
4908,1353315
4910,4556
4911,124779
5002,15000
5204,66565
5205,3904750
