CommodityCode,ValueUSD
1,608900288
2,724703341
3,290777199
4,1014479401
5,162442346
6,7221421
7,738370556
8,1310873645
9,392513395
10,3795041137
11,451583450
12,1515795600
13,90336420
14,1601375
15,207894499
16,47264798
17,2125493928
18,706786598
19,404344673
20,208249593
21,900922733
22,208618389
23,3057376260
24,793645314
25,975079040
26,545769648
27,31581864796
28,2056592310
29,6925833725
30,990531103
31,1904390578
32,1589100284
33,1338121405
34,604447901
35,514091305
36,112025443
37,87270413
38,2669909674
39,9210566829
40,2351267493
41,505382855
42,445274384
43,10971530
44,447967231
45,7007687
46,1600815
47,1770438216
48,1524576403
49,197717832
50,5768906
51,124294121
52,2396848984
53,69633474
54,1745027722
55,1485471944
56,530411102
57,75742723
58,370841068
59,712043691
60,1552292648
61,380345204
62,434854037
63,133308554
64,746460828
65,34115467
66,35659304
67,87202078
68,477707565
69,638066276
70,417090024
71,2267332084
72,10246716348
73,3887604417
74,1454354984
75,129852312
76,2172791978
78,170719557
79,481885030
80,16640587
81,145762682
82,661682087
83,840894575
84,27197372573
85,21447572039
86,364763975
87,8068675005
88,908191722
89,1303915981
90,2885560541
91,191872835
92,154575546
93,313731099
94,1031837023
95,428717467
96,629898868
97,2455056
99,719574268
101,829367
102,573926222
104,850803
105,31232224
106,2061672
201,35748128
202,565069088
203,2161984
204,13576806
205,107442
206,106992137
207,925
208,159113
210,887718
301,2023719
302,39055265
303,151674876
304,7323137
305,1491687
306,78781831
307,9773332
308,653352
401,15066022
402,510358898
403,27659709
404,154581458
405,151599846
406,136668035
407,999623
408,9277320
409,7966078
410,302412
501,31583404
502,12916907
505,103032754
506,200
507,12852
508,443960
510,23353
511,14428916
601,680345
602,1961214
603,3768410
604,811452
701,18770907
702,181917
703,553941114
704,7968703
705,211987
706,36458
707,13970
708,650586
709,8180998
710,4887760
711,202740
712,32657407
713,108990934
714,1675075
801,12586196
802,16060037
803,15660
804,64543135
805,136362637
806,319519056
807,12177
808,609412921
809,11076707
810,132869272
811,3191853
812,823476
813,4231727
814,168791
901,155778331
902,29429943
903,15795
904,62124535
905,11848379
906,3472432
907,105650154
908,2328104
909,14314546
910,7551176
1001,2570951543
1003,9664
1004,72114
1005,159548397
1006,1037128422
1007,77
1008,27330920
1101,19790507
1102,352902
1103,2502436
1104,6908725
1105,12374453
1106,668494
1107,13225056
1108,390488237
1109,5272640
1201,1103102632
1202,345126530
1203,136351
1204,280011
1205,470869
1206,18722436
1207,12410184
1208,5187668
1209,10953257
1210,433693
1211,10739700
1212,5741716
1213,39240
1214,2451313
1301,4687675
1302,85648745
1401,1041369
1404,560006
1501,80987
1502,40071
1504,22950410
1505,409685
1506,261950
1507,32238883
1508,61512
1509,15384154
1510,645485
1511,914594
1512,8149229
1513,16949846
1514,11213422
1515,22760509
1516,25583507
1517,34317404
1518,13580342
1520,147331
1521,2205178
1601,155304
1602,24826900
1603,257503
1604,19811139
1605,2213952
1701,1799554657
1702,250162896
1703,16366564
1704,59409811
1801,528945939
1802,5196
1803,12150230
1804,13322446
1805,49967978
1806,102394809
1901,225070707
1902,36796326
1903,1079100
1904,32525081
1905,108873459
2001,890417
2002,10481111
2003,6977495
2004,57908026
2005,27684778
2006,4537999
2007,17910389
2008,59519180
2009,22340198
2101,174251225
2102,35521379
2103,94206781
2104,9125748
2105,50431787
2106,537385813
2201,2015178
2202,110331494
2203,2655733
2204,18646024
2205,139290
2206,575002
2207,52964711
2208,18538308
2209,2752649
2301,342704578
2302,1754102
2303,317153595
2304,2045261009
2306,18754413
2308,169170
2309,331579393
2401,695714742
2402,45024845
2403,52905727
2501,90651555
2502,3057742
2503,137121418
2504,3058327
2505,5523786
2506,3668400
2507,32000960
2508,85745649
2509,341065
2510,205498526
2511,13014314
2512,4746808
2513,4954097
2514,24469
2515,23702310
2516,4433332
2517,4534291
2518,3181338
2519,36288443
2520,85960312
2521,39935227
2522,19310409
2523,3521721
2524,54822302
2525,5516016
2526,26854475
2528,2013345
2529,39164642
2530,36433761
2601,403696340
2602,41752743
2603,7838
2604,744
2605,292
2606,608276
2607,6957
2608,61052
2609,109906
2610,77084547
2611,150459
2613,573
2614,7893086
2615,9590556
2616,6351
2617,189341
2618,805498
2619,956607
2620,2663812
2621,184670
2701,899512323
2702,277084
2703,203558
2704,165518788
2706,2703396
2707,511392168
2708,24578468
2709,9161335053
2710,17144100509
